2026-07-29 17:16:14,688 INFO corporate_actions: 4064 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 17:17:31,211 ERROR yfinance: $AMPS.WS: possibly delisted; no timezone found
2026-07-29 17:17:31,836 ERROR yfinance: $AMPX.WS: possibly delisted; no timezone found
2026-07-29 17:17:32,666 ERROR yfinance: $AMRH: possibly delisted; no timezone found
2026-07-29 17:17:32,963 ERROR yfinance: $AMRHW: possibly delisted; no timezone found
2026-07-29 17:17:33,290 ERROR yfinance: $AMRK: possibly delisted; no timezone found
2026-07-29 17:17:34,165 ERROR yfinance: $AMRS: possibly delisted; no timezone found
2026-07-29 17:17:35,853 ERROR yfinance: $AMSWA: possibly delisted; no timezone found
2026-07-29 17:17:36,442 ERROR yfinance: $AMTI: possibly delisted; no timezone found
2026-07-29 17:17:37,509 ERROR yfinance: $AMV: possibly delisted; no timezone found
2026-07-29 17:17:38,686 ERROR yfinance: $ANAC.WS: possibly delisted; no timezone found
2026-07-29 17:17:39,137 ERROR yfinance: $ANCN: possibly delisted; no timezone found
2026-07-29 17:17:39,435 ERROR yfinance: $ANDAR: possibly delisted; no timezone found
2026-07-29 17:17:39,714 ERROR yfinance: $ANDAW: possibly delisted; no timezone found
2026-07-29 17:17:42,321 ERROR yfinance: $ANGN: possibly delisted; no timezone found
2026-07-29 17:17:44,036 ERROR yfinance: $ANPC: possibly delisted; no timezone found
2026-07-29 17:17:44,374 ERROR yfinance: $ANTE: possibly delisted; no timezone found
2026-07-29 17:17:45,784 ERROR yfinance: $ANZUW: possibly delisted; no timezone found
2026-07-29 17:17:46,053 ERROR yfinance: AOGOW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 17:17:46,864 ERROR yfinance: $AP.WS: possibly delisted; no timezone found
2026-07-29 17:17:47,204 ERROR yfinance: $APACW: possibly delisted; no timezone found
2026-07-29 17:17:47,553 ERROR yfinance: $APCA.WS: possibly delisted; no timezone found
2026-07-29 17:17:48,221 ERROR yfinance: APCXW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 17:17:48,496 ERROR yfinance: $APDN: possibly delisted; no timezone found
2026-07-29 17:17:48,788 ERROR yfinance: $APEN: possibly delisted; no timezone found
2026-07-29 17:17:49,110 ERROR yfinance: $APGB.WS: possibly delisted; no timezone found
2026-07-29 17:17:49,606 ERROR yfinance: $APGN: possibly delisted; no timezone found
2026-07-29 17:17:50,229 ERROR yfinance: $APGNW: possibly delisted; no timezone found
2026-07-29 17:17:51,234 ERROR yfinance: $APHA: possibly delisted; no timezone found
