2026-07-29 19:32:45,510 INFO corporate_actions: 6873 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 19:35:04,036 ERROR yfinance: $ANDAW: possibly delisted; no timezone found
2026-07-29 19:35:07,556 ERROR yfinance: $ANGN: possibly delisted; no timezone found
2026-07-29 19:35:11,444 ERROR yfinance: $ANPC: possibly delisted; no timezone found
2026-07-29 19:35:12,871 ERROR yfinance: $ANTE: possibly delisted; no timezone found
2026-07-29 19:35:14,363 ERROR yfinance: $ANZU: possibly delisted; no timezone found
2026-07-29 19:35:14,728 ERROR yfinance: $ANZUU: possibly delisted; no timezone found
2026-07-29 19:35:15,123 ERROR yfinance: $ANZUW: possibly delisted; no timezone found
2026-07-29 19:35:15,318 ERROR yfinance: AOGOW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:35:15,933 ERROR yfinance: AONCW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:35:17,423 ERROR yfinance: $AP.WS: possibly delisted; no timezone found
2026-07-29 19:35:18,264 ERROR yfinance: $APACW: possibly delisted; no timezone found
2026-07-29 19:35:18,660 ERROR yfinance: $APCA.WS: possibly delisted; no timezone found
2026-07-29 19:35:19,179 ERROR yfinance: APCXW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:35:19,519 ERROR yfinance: $APDN: possibly delisted; no timezone found
2026-07-29 19:35:19,858 ERROR yfinance: $APE: possibly delisted; no timezone found
2026-07-29 19:35:20,970 ERROR yfinance: $APEN: possibly delisted; no timezone found
2026-07-29 19:35:21,647 ERROR yfinance: $APGB.WS: possibly delisted; no timezone found
2026-07-29 19:35:22,289 ERROR yfinance: $APGN: possibly delisted; no timezone found
2026-07-29 19:35:22,599 ERROR yfinance: $APGNW: possibly delisted; no timezone found
2026-07-29 19:35:23,551 ERROR yfinance: $APHA: possibly delisted; no timezone found
2026-07-29 19:35:25,136 ERROR yfinance: $APLS: possibly delisted; no timezone found
2026-07-29 19:35:25,503 ERROR yfinance: $APLT: possibly delisted; no timezone found
2026-07-29 19:35:26,398 ERROR yfinance: $APMIW: possibly delisted; no timezone found
2026-07-29 19:35:26,782 ERROR yfinance: $APN.WS: possibly delisted; no timezone found
